timestamp,event,axis,row,target_kind,move_id,requested_steps,batch_delta,direction,total_pulses,raw_position_steps,logical_position_steps,gap_steps,backlash_steps,target_position_steps,monotonic_ns,message
2026-08-19 00:16:43.586,continuous_start,x,,,,,,1,0,0,,,77,,5767603273987,
2026-08-19 00:16:43.591,pulse_batch,x,,,,,1,,1,1,,,77,,5767608756061,
2026-08-19 00:16:43.612,pulse_batch,x,,,,,2,,3,3,,,77,,5767629446571,
2026-08-19 00:16:43.632,pulse_batch,x,,,,,2,,5,5,,,77,,5767649763307,
2026-08-19 00:16:43.653,pulse_batch,x,,,,,2,,7,7,,,77,,5767670231894,
2026-08-19 00:16:43.673,pulse_batch,x,,,,,2,,9,9,,,77,,5767690693906,
2026-08-19 00:16:43.693,pulse_batch,x,,,,,2,,11,11,,,77,,5767711056698,
2026-08-19 00:16:43.714,pulse_batch,x,,,,,2,,13,13,,,77,,5767731492581,
2026-08-19 00:16:43.734,pulse_batch,x,,,,,2,,15,15,,,77,,5767751984889,
2026-08-19 00:16:43.755,pulse_batch,x,,,,,2,,17,17,,,77,,5767772347662,
2026-08-19 00:16:43.775,pulse_batch,x,,,,,2,,19,19,,,77,,5767792680417,
2026-08-19 00:16:43.795,pulse_batch,x,,,,,2,,21,21,,,77,,5767813192299,
2026-08-19 00:16:43.816,pulse_batch,x,,,,,2,,23,23,,,77,,5767833691700,
2026-08-19 00:16:43.836,pulse_batch,x,,,,,2,,25,25,,,77,,5767854046714,
2026-08-19 00:16:43.857,pulse_batch,x,,,,,2,,27,27,,,77,,5767874515041,
2026-08-19 00:16:43.877,pulse_batch,x,,,,,2,,29,29,,,77,,5767894903462,
2026-08-19 00:16:43.897,pulse_batch,x,,,,,2,,31,31,,,77,,5767915232253,
2026-08-19 00:16:43.918,pulse_batch,x,,,,,2,,33,33,,,77,,5767935777969,
2026-08-19 00:16:43.939,pulse_batch,x,,,,,2,,35,35,,,77,,5767956364424,
2026-08-19 00:16:43.959,pulse_batch,x,,,,,2,,37,37,,,77,,5767976678920,
2026-08-19 00:16:43.981,pulse_batch,x,,,,,2,,39,39,,,77,,5767998918174,
2026-08-19 00:16:44.002,pulse_batch,x,,,,,2,,41,41,,,77,,5768019436297,
2026-08-19 00:16:44.022,pulse_batch,x,,,,,2,,43,43,,,77,,5768039798329,
2026-08-19 00:16:44.042,pulse_batch,x,,,,,2,,45,45,,,77,,5768060113121,
2026-08-19 00:16:44.063,pulse_batch,x,,,,,2,,47,47,,,77,,5768080627929,
2026-08-19 00:16:44.083,pulse_batch,x,,,,,2,,49,49,,,77,,5768101026387,
2026-08-19 00:16:44.104,pulse_batch,x,,,,,2,,51,51,,,77,,5768121316253,
2026-08-19 00:16:44.125,pulse_batch,x,,,,,2,,53,53,,,77,,5768142532647,
2026-08-19 00:16:44.145,pulse_batch,x,,,,,2,,55,55,,,77,,5768163054882,
2026-08-19 00:16:44.166,pulse_batch,x,,,,,2,,57,57,,,77,,5768183351026,
2026-08-19 00:16:44.186,pulse_batch,x,,,,,2,,59,59,,,77,,5768203998388,
2026-08-19 00:16:44.207,pulse_batch,x,,,,,2,,61,61,,,77,,5768224404754,
2026-08-19 00:16:44.227,pulse_batch,x,,,,,2,,63,63,,,77,,5768244740416,
2026-08-19 00:16:44.248,pulse_batch,x,,,,,2,,65,65,,,77,,5768265529962,
2026-08-19 00:16:44.268,pulse_batch,x,,,,,2,,67,67,,,77,,5768285992401,
2026-08-19 00:16:44.289,pulse_batch,x,,,,,2,,69,69,,,77,,5768306319582,
2026-08-19 00:16:44.309,pulse_batch,x,,,,,2,,71,71,,,77,,5768326624151,
2026-08-19 00:16:44.330,pulse_batch,x,,,,,2,,73,73,,,77,,5768347708898,
2026-08-19 00:16:44.350,pulse_batch,x,,,,,2,,75,75,,,77,,5768367999968,
2026-08-19 00:16:44.371,pulse_batch,x,,,,,2,,77,77,,,77,,5768388293853,
2026-08-19 00:16:44.392,pulse_batch,x,,,,,2,,79,79,,,77,,5768409368915,
2026-08-19 00:16:44.412,pulse_batch,x,,,,,2,,81,81,,,77,,5768429830372,
2026-08-19 00:16:44.432,pulse_batch,x,,,,,2,,83,83,,,77,,5768450147442,
2026-08-19 00:16:44.454,pulse_batch,x,,,,,2,,85,85,,,77,,5768471469650,
2026-08-19 00:16:44.477,pulse_batch,x,,,,,2,,87,87,,,77,,5768494339527,
2026-08-19 00:16:44.497,pulse_batch,x,,,,,2,,89,89,,,77,,5768514642412,
2026-08-19 00:16:44.518,pulse_batch,x,,,,,2,,91,91,,,77,,5768535333163,
2026-08-19 00:16:44.538,pulse_batch,x,,,,,2,,93,93,,,77,,5768555714658,
2026-08-19 00:16:44.558,pulse_batch,x,,,,,2,,95,95,,,77,,5768576043950,
2026-08-19 00:16:44.579,pulse_batch,x,,,,,2,,97,97,,,77,,5768596417722,
2026-08-19 00:16:44.599,pulse_batch,x,,,,,2,,99,99,,,77,,5768616816551,
2026-08-19 00:16:44.619,pulse_batch,x,,,,,2,,101,101,,,77,,5768637170490,
2026-08-19 00:16:44.640,pulse_batch,x,,,,,2,,103,103,,,77,,5768657852797,
2026-08-19 00:16:44.661,pulse_batch,x,,,,,2,,105,105,,,77,,5768678353958,
2026-08-19 00:16:44.681,pulse_batch,x,,,,,2,,107,107,,,77,,5768698813248,
2026-08-19 00:16:44.701,pulse_batch,x,,,,,2,,109,109,,,77,,5768719124910,
2026-08-19 00:16:44.722,pulse_batch,x,,,,,2,,111,111,,,77,,5768740105399,
2026-08-19 00:16:44.743,pulse_batch,x,,,,,2,,113,113,,,77,,5768760662948,
2026-08-19 00:16:44.763,pulse_batch,x,,,,,2,,115,115,,,77,,5768780976296,
2026-08-19 00:16:44.784,pulse_batch,x,,,,,2,,117,117,,,77,,5768801796990,
2026-08-19 00:16:44.804,pulse_batch,x,,,,,2,,119,119,,,77,,5768822216448,
2026-08-19 00:16:44.825,pulse_batch,x,,,,,2,,121,121,,,77,,5768842542369,
2026-08-19 00:16:44.845,pulse_batch,x,,,,,2,,123,123,,,77,,5768863160473,
2026-08-19 00:16:44.866,pulse_batch,x,,,,,2,,125,125,,,77,,5768883690151,
2026-08-19 00:16:44.886,pulse_batch,x,,,,,2,,127,127,,,77,,5768903995055,
2026-08-19 00:16:44.907,pulse_batch,x,,,,,2,,129,129,,,77,,5768924287421,
2026-08-19 00:16:44.927,pulse_batch,x,,,,,2,,131,131,,,77,,5768944959839,
2026-08-19 00:16:44.948,pulse_batch,x,,,,,2,,133,133,,,77,,5768965422185,
2026-08-19 00:16:44.968,pulse_batch,x,,,,,2,,135,135,,,77,,5768985703366,
2026-08-19 00:16:44.989,pulse_batch,x,,,,,2,,137,137,,,77,,5769006268637,
2026-08-19 00:16:45.009,pulse_batch,x,,,,,2,,139,139,,,77,,5769026643577,
2026-08-19 00:16:45.029,pulse_batch,x,,,,,2,,141,141,,,77,,5769046980535,
2026-08-19 00:16:45.050,pulse_batch,x,,,,,2,,143,143,,,77,,5769067732916,
2026-08-19 00:16:45.070,pulse_batch,x,,,,,2,,145,145,,,77,,5769088113948,
2026-08-19 00:16:45.091,pulse_batch,x,,,,,2,,147,147,,,77,,5769108438870,
2026-08-19 00:16:45.111,pulse_batch,x,,,,,2,,149,149,,,77,,5769128784976,
2026-08-19 00:16:45.132,pulse_batch,x,,,,,2,,151,151,,,77,,5769149363673,
2026-08-19 00:16:45.152,pulse_batch,x,,,,,2,,153,153,,,77,,5769169643632,
2026-08-19 00:16:45.172,pulse_batch,x,,,,,2,,155,155,,,77,,5769189933184,
2026-08-19 00:16:45.193,pulse_batch,x,,,,,2,,157,157,,,77,,5769210337290,
2026-08-19 00:16:45.213,pulse_batch,x,,,,,2,,159,159,,,77,,5769230823395,
2026-08-19 00:16:45.233,pulse_batch,x,,,,,2,,161,161,,,77,,5769251123651,
2026-08-19 00:16:45.254,pulse_batch,x,,,,,2,,163,163,,,77,,5769271695829,
2026-08-19 00:16:45.274,pulse_batch,x,,,,,2,,165,165,,,77,,5769292047103,
2026-08-19 00:16:45.295,pulse_batch,x,,,,,2,,167,167,,,77,,5769312334043,
2026-08-19 00:16:45.316,pulse_batch,x,,,,,2,,169,169,,,77,,5769333249533,
2026-08-19 00:16:45.336,pulse_batch,x,,,,,2,,171,171,,,77,,5769353726435,
2026-08-19 00:16:45.356,pulse_batch,x,,,,,2,,173,173,,,77,,5769374068597,
2026-08-19 00:16:45.377,pulse_batch,x,,,,,2,,175,175,,,77,,5769394398407,
2026-08-19 00:16:45.398,pulse_batch,x,,,,,2,,177,177,,,77,,5769415242824,
2026-08-19 00:16:45.418,pulse_batch,x,,,,,2,,179,179,,,77,,5769435535246,
2026-08-19 00:16:45.438,pulse_batch,x,,,,,2,,181,181,,,77,,5769456074480,
2026-08-19 00:16:45.463,pulse_batch,x,,,,,2,,183,183,,,77,,5769480171511,
2026-08-19 00:16:45.483,pulse_batch,x,,,,,2,,185,185,,,77,,5769500490748,
2026-08-19 00:16:45.503,pulse_batch,x,,,,,2,,187,187,,,77,,5769520749670,
2026-08-19 00:16:45.524,pulse_batch,x,,,,,2,,189,189,,,77,,5769541281516,
2026-08-19 00:16:45.544,pulse_batch,x,,,,,2,,191,191,,,77,,5769561661437,
2026-08-19 00:16:45.564,pulse_batch,x,,,,,2,,193,193,,,77,,5769581930193,
2026-08-19 00:16:45.585,pulse_batch,x,,,,,2,,195,195,,,77,,5769602848497,
2026-08-19 00:16:45.606,pulse_batch,x,,,,,2,,197,197,,,77,,5769623241326,
2026-08-19 00:16:45.626,pulse_batch,x,,,,,2,,199,199,,,77,,5769643584710,
2026-08-19 00:16:45.646,pulse_batch,x,,,,,2,,201,201,,,77,,5769664097889,
2026-08-19 00:16:45.667,pulse_batch,x,,,,,2,,203,203,,,77,,5769684525514,
2026-08-19 00:16:45.687,pulse_batch,x,,,,,2,,205,205,,,77,,5769704857195,
2026-08-19 00:16:45.708,pulse_batch,x,,,,,2,,207,207,,,77,,5769725432188,
2026-08-19 00:16:45.728,pulse_batch,x,,,,,2,,209,209,,,77,,5769745862460,
2026-08-19 00:16:45.749,pulse_batch,x,,,,,2,,211,211,,,77,,5769766293844,
2026-08-19 00:16:45.769,pulse_batch,x,,,,,2,,213,213,,,77,,5769786554211,
2026-08-19 00:16:45.790,pulse_batch,x,,,,,2,,215,215,,,77,,5769807577477,
2026-08-19 00:16:45.810,pulse_batch,x,,,,,2,,217,217,,,77,,5769828012472,
2026-08-19 00:16:45.830,pulse_batch,x,,,,,2,,219,219,,,77,,5769848285413,
2026-08-19 00:16:45.852,pulse_batch,x,,,,,2,,221,221,,,77,,5769869298827,
2026-08-19 00:16:45.872,pulse_batch,x,,,,,2,,223,223,,,77,,5769889769359,
2026-08-19 00:16:45.893,pulse_batch,x,,,,,2,,225,225,,,77,,5769910561053,
2026-08-19 00:16:45.913,pulse_batch,x,,,,,2,,227,227,,,77,,5769931000141,
2026-08-19 00:16:45.934,pulse_batch,x,,,,,2,,229,229,,,77,,5769951450857,
2026-08-19 00:16:45.954,pulse_batch,x,,,,,2,,231,231,,,77,,5769971874204,
2026-08-19 00:16:45.974,pulse_batch,x,,,,,2,,233,233,,,77,,5769992170552,
2026-08-19 00:16:45.995,pulse_batch,x,,,,,2,,235,235,,,77,,5770012702268,
2026-08-19 00:16:46.017,pulse_batch,x,,,,,2,,237,237,,,77,,5770035040021,
2026-08-19 00:16:46.038,pulse_batch,x,,,,,2,,239,239,,,77,,5770055339258,
2026-08-19 00:16:46.058,pulse_batch,x,,,,,2,,241,241,,,77,,5770075806845,
2026-08-19 00:16:46.081,pulse_batch,x,,,,,2,,243,243,,,77,,5770098266727,
2026-08-19 00:16:46.101,pulse_batch,x,,,,,2,,245,245,,,77,,5770118532149,
2026-08-19 00:16:46.122,pulse_batch,x,,,,,2,,247,247,,,77,,5770139416102,
2026-08-19 00:16:46.142,pulse_batch,x,,,,,2,,249,249,,,77,,5770159758728,
